asset,category,trend,rsi,macd,vol,pos,score,label,price,rsi_raw,vol_ratio
💱 USD/JPY,Currency,100,50,90,60,66.47090051094432,73.8,Buy,160.038,58.6,0.52
🧠 NVIDIA,Stocks,100,50,65,60,89.3803258020579,72.9,Buy,227.98,53.3,0.93
🍎 Apple,Stocks,100,35,90,60,73.11449241939818,71.7,Buy,314.58,67.2,0.57
🇺🇸 S&P500,Indices,100,65,35,60,95.3273276376639,71.3,Buy,7730.9902,41.3,0.4
🏦 JP Morgan,Stocks,100,65,35,60,87.11227778056885,69.8,Buy,354.22,31.6,0.41
🇺🇸 NASDAQ100,Indices,100,65,35,60,86.7781219716905,69.7,Buy,29641.5605,39.0,0.57
🇩🇪 DAX,Indices,100,50,35,60,98.23482923676133,68.5,Buy,26367.2402,45.9,0.31
🇨🇦 TSX,Indices,100,50,35,60,97.8138939110037,68.4,Buy,36834.3008,54.4,0.4
🇦🇺 ASX200,Indices,100,65,35,60,74.22991990822008,67.5,Buy,9038.2002,38.9,0.45
🇺🇸 Dow,Indices,100,50,35,60,91.5090515013517,67.3,Buy,53569.4414,46.4,0.45
🟠 Copper,Commodity,100,50,35,60,91.038772766626,67.2,Buy,6.587,48.8,0.57
🇬🇧 FTSE100,Indices,100,50,35,60,88.69427019548085,66.8,Buy,10792.5,57.3,0.34
🥤 Coca-Cola,Stocks,100,50,35,60,88.43795366402473,66.7,Buy,89.06,57.8,0.89
🖥️ Microsoft,Stocks,100,35,35,60,99.96787457595937,65.5,Buy,505.06,61.7,0.73
🚀 Tesla,Stocks,75,50,90,60,29.667553777593998,61.6,Buy,354.81,58.7,0.7
💱 GBP/USD,Currency,100,50,35,60,56.30487495928486,60.9,Buy,1.3537,57.2,0.43
🛢️ Brent,Commodity,100,50,35,60,50.93337587710599,60.0,Hold,89.7,54.1,0.97
₿ Bitcoin,Crypto,75,20,90,60,56.550468092730824,59.9,Hold,80257.5391,91.2,0.76
🛢️ Crude WTI,Commodity,100,50,35,60,48.349718026475315,59.5,Hold,83.53,54.6,0.64
Ξ Ethereum,Crypto,75,20,90,60,52.82922694062775,59.2,Hold,2510.4102,84.9,1.02
🇨🇳 Shanghai,Indices,75,50,65,60,40.21933103523943,58.5,Hold,3956.571,55.5,0.67
🥇 Gold,Metals,75,20,90,60,46.826244681404496,58.1,Hold,4609.7002,77.4,0.98
☕ Asian Paints,Stocks,40,85,35,60,68.70425140452696,57.7,Hold,2631.0,20.4,0.51
🇭🇰 HangSeng,Indices,100,35,35,60,54.640387657790214,57.3,Hold,25565.7402,63.9,0.63
🇧🇷 Bovespa,Indices,75,20,90,60,41.94249043564112,57.2,Hold,175135.0,93.6,0.62
🥈 Silver,Metals,75,35,90,60,22.86337290716825,57.1,Hold,69.429,68.6,0.91
🇫🇷 CAC40,Indices,40,85,35,60,61.697824765623565,56.4,Hold,8319.8701,12.8,0.41
🇯🇵 Nikkei225,Indices,40,65,35,60,72.72701795541921,54.0,Hold,66131.9766,31.1,0.95
🛒 Amazon,Stocks,40,65,35,60,67.42933164423799,53.0,Hold,256.26,37.7,0.58
💱 DXY Dollar,Currency,0,65,90,60,54.54550601717251,52.9,Hold,99.16,33.8,0.55
💱 EUR/USD,Currency,75,50,35,60,35.16129669859718,51.6,Hold,1.1587,59.6,0.47
🔍 Google,Stocks,40,65,35,60,52.163461140518855,50.3,Hold,340.65,37.8,0.66
🏦 HDFC Bank,Stocks,0,85,90,60,0.0,47.5,Hold,711.0,28.9,0.43
📱 Meta,Stocks,0,65,90,60,21.65958786134765,47.0,Hold,571.1,38.9,0.9
🗻 Platinum,Metals,75,35,35,60,22.661657865267443,46.1,Hold,1845.3,65.4,1.08
💱 USD/INR,Currency,40,50,35,25,80.91326990174662,45.9,Hold,95.4704,50.7,1.75
🚗 Maruti,Stocks,0,85,35,60,25.450839957601517,41.1,Hold,13440.0,27.0,0.39
😨 VIX,Risk,0,50,90,60,5.915813553947835,40.9,Hold,14.51,52.0,0.53
💻 TCS,Stocks,0,85,35,60,22.443214457483837,40.5,Hold,2248.3999,18.9,0.76
🇮🇳 NIFTY50,Indices,0,65,35,60,44.01758870210761,40.0,Hold,24090.8496,33.9,0.31
🇮🇳 SENSEX,Indices,0,65,35,60,36.09295286698551,38.6,Sell,76933.5938,31.5,0.34
⚡ Reliance,Stocks,0,65,35,60,7.174104481326528,33.4,Sell,1282.2,31.8,0.35
