,degree,betweenness,eigenvector,avg_rank
DAX (Germany),0.6364,0.1818,0.3936,2.5
FTSE100 (UK),0.6364,0.1818,0.3872,2.8333
CAC40 (France),0.6364,0.0,0.3975,3.8333
Nifty50 (India),0.3636,0.5455,0.1296,5.8333
S&P500 (US),0.5455,0.0,0.3863,6.0
TSX (Canada),0.5455,0.0,0.3684,6.3333
HangSeng (HK),0.3636,0.4727,0.0169,6.5
Nasdaq (US),0.5455,0.0,0.3644,6.6667
Bovespa (Brazil),0.5455,0.0,0.3198,7.0
ASX200 (Australia),0.1818,0.0,0.0026,9.6667
Nikkei225 (Japan),0.1818,0.0,0.0025,10.0
Shanghai (China),0.0909,0.0,0.0022,10.8333
