market,max_drawdown_%,trough_date,days_vs_US_trough,pre_covid_corr_with_US,crash_corr_with_US,delta_corr
DAX (Germany),-38.779389651624484,2020-03-18,-5,0.6514846639659723,0.726877384592719,0.07539272062674673
CAC40 (France),-38.55846041250194,2020-03-18,-5,0.6756189035957991,0.7402603630926117,0.06464145949681255
Nikkei225 (Japan),-29.49987626156019,2020-03-19,-4,0.13896579418835028,0.34559942856928266,0.20663363438093238
S&P500 (US),-33.92496000265327,2020-03-23,0,1.0000000000001141,1.000000000000008,-1.0613732115416497e-13
FTSE100 (UK),-33.030710710154885,2020-03-23,0,0.589255029394647,0.781554029130728,0.192298999736081
Nasdaq (US),-30.115673337317627,2020-03-23,0,0.9519498404577912,0.982668954284756,0.030719113826964795
HangSeng (HK),-21.549466711158903,2020-03-23,0,0.21837145237649586,0.41336407796432256,0.1949926255878267
Shanghai (China),-13.396821339498533,2020-03-23,0,0.13610958999617412,0.3650361527354647,0.22892656273929057
Nifty50 (India),-37.239712063907625,2020-03-23,0,0.141644112332517,0.4394535440702757,0.2978094317377587
Bovespa (Brazil),-45.44190597160954,2020-03-23,0,0.46410578693274457,0.7443171206184949,0.2802113336857503
TSX (Canada),-37.42511329945134,2020-03-23,0,0.7173070043730779,0.9033485114944168,0.18604150712133882
ASX200 (Australia),-36.5305410122164,2020-03-23,0,0.04152996438766602,0.5991345332335678,0.5576045688459018
