,S&P500 (US),Nasdaq (US),FTSE100 (UK),DAX (Germany),CAC40 (France),Nikkei225 (Japan),HangSeng (HK),Shanghai (China),Nifty50 (India),Bovespa (Brazil),TSX (Canada),ASX200 (Australia)
S&P500 (US),,2.3773376663452547e-10,9.934382607720587e-75,4.700855186008091e-47,2.7431524584761857e-69,4.1385923896e-313,4.476498560076528e-149,2.0287370101515135e-32,2.6514528981513377e-80,0.022049068571420544,1.4527887314629623e-16,4.186e-320
Nasdaq (US),3.964496308386431e-06,,1.2606192014819637e-62,5.175700545407397e-47,1.4859632039068537e-59,1.1443128393414838e-292,5.603196202704554e-146,2.118242708130313e-34,1.3992818885405368e-80,0.015726374228030256,7.725310474855023e-18,4.587949240077527e-273
FTSE100 (UK),0.0320510085366684,0.025007764150903434,,0.03477156608361444,0.0882193828974444,1.175950714356178e-167,6.70738608111345e-86,1.2232140576390622e-21,2.1025522521828732e-26,0.002966144976900836,1.4432035581109155e-08,3.229452972061583e-205
DAX (Germany),2.299672721859221e-05,0.0008126515286209994,0.06194829910833179,,5.8117647874848834e-06,1.386707783953359e-221,2.843707179874636e-89,5.649346042160802e-21,1.039760929272754e-32,5.474888278050215e-05,2.1706041114807136e-12,2.0056837282552375e-204
CAC40 (France),0.005198719719370773,0.015626086387099815,0.11924609541805839,7.034657850766984e-05,,8.506541118796706e-208,1.5381060680181984e-86,2.348996725103023e-20,4.2739782569866376e-27,0.001342854684447781,1.1007635792650398e-06,5.308911347400674e-201
Nikkei225 (Japan),0.02117255564886554,0.15225104860060018,0.20320865002407879,0.050139381128835696,0.10936497169740025,,0.29666848338499713,0.2808967841752598,0.00013714076862980654,0.018271795492675366,4.849207146867247e-07,1.3802700497788957e-06
HangSeng (HK),0.5069614534325194,0.49617228509072575,0.012381531420433991,0.006727160316989281,0.009565160321970726,1.1636799725026702e-11,,0.0028919231250546934,4.2128892592306674e-06,0.01776814289468067,0.004046463168573052,1.8954190283016263e-08
Shanghai (China),0.2015619755252128,0.5735199999501494,0.014860905945834517,0.011422413771006657,0.009910804866700325,0.5376547195419774,5.319173076849166e-07,,8.341411754365677e-06,0.0301547084969544,0.013198421327758073,0.24547916019735783
Nifty50 (India),0.10060977210311729,0.07636951726550532,0.050158055536192576,0.2810344672803331,0.29086198355308196,5.77773490770987e-31,1.4036230753772483e-12,7.250350263252131e-06,,0.12406864585104298,0.061942684111658416,6.12003281323444e-26
Bovespa (Brazil),0.024716793868787532,0.0009086045556892196,2.268717477644896e-25,6.5981069868996254e-09,2.5496186222563412e-18,1.011903192170854e-123,2.9188987651041062e-93,7.398705591751787e-22,1.7818012321578538e-46,,0.0006298521730340892,2.2656713939778913e-136
TSX (Canada),9.18248279408695e-17,7.215571538929309e-19,3.571132000592998e-32,4.554365908362457e-11,2.5888012189241372e-23,6.978408308592458e-173,2.3414599928688506e-99,7.514309319237467e-20,2.1777737499093582e-54,0.0002959790740868761,,3.850462820576887e-247
ASX200 (Australia),0.04260354385902447,0.06275926382502321,0.21373272066238946,0.16218575615599193,0.2822613340553208,1.8291747893688655e-05,0.023677032940009723,0.255755653529545,6.262577419023149e-07,0.3183469942766965,0.0008274898552366146,
