,TO S&P500 (US),TO Nasdaq (US),TO FTSE100 (UK),TO DAX (Germany),TO CAC40 (France),TO Nikkei225 (Japan),TO HangSeng (HK),TO Shanghai (China),TO Nifty50 (India),TO Bovespa (Brazil),TO TSX (Canada),TO ASX200 (Australia)
FROM S&P500 (US),0.2202029137601525,0.1983416872780936,0.08693797925852693,0.09171082566069039,0.09270955189240648,0.01611484573655983,0.017888794019516974,0.004564900154429689,0.023881714670000803,0.08282061850154172,0.1374717921334247,0.02735437693465622
FROM Nasdaq (US),0.22001923023316755,0.24174930946532394,0.07575600658437834,0.08683311035106783,0.08515158486047174,0.01468292465841593,0.018745202515537494,0.005415208874784712,0.021039532249182667,0.0776488869282366,0.12859091277906398,0.02436809050036918
FROM FTSE100 (UK),0.09682452764479292,0.07744571477484927,0.21912371456133659,0.15107161402304417,0.16693887360223467,0.020104512289837135,0.03243774269501277,0.006924640587340072,0.03656363520394081,0.06566397512250308,0.09428425824646064,0.03261679124864791
FROM DAX (Germany),0.10025200330339876,0.08707116984587554,0.15415127308577653,0.22249407151395412,0.19053783048429704,0.01830276842184516,0.027786493849332454,0.0058401952576812655,0.03283810151794748,0.055377933389761345,0.08028190531072142,0.02506625401940891
FROM CAC40 (France),0.0983486123452651,0.08271322323628709,0.1636239896111079,0.18307911615494468,0.2144881652476984,0.019082391019672813,0.02807949369017132,0.006295788148321139,0.034406622937584376,0.05972640757166568,0.08402658347960516,0.026129606557676363
FROM Nikkei225 (Japan),0.11139013880164415,0.10448924481507728,0.0788960235545434,0.08937302394246233,0.08903702421303888,0.2768074759843674,0.04173679286344819,0.012075691878742497,0.026723389418739623,0.05116434869607526,0.07422280833301396,0.04408403749884707
FROM HangSeng (HK),0.07265005776160495,0.07097272676145569,0.070108266707439,0.06404029325933337,0.06581072804817015,0.04327974876929736,0.30872562565909933,0.07391154884986792,0.058027634840167784,0.06070163761612672,0.05963124293883712,0.05214048878860064
FROM Shanghai (China),0.028426832116120095,0.031103049665091587,0.03177824828149548,0.02893117994122566,0.02984773735631308,0.025775353368120417,0.1361554174441113,0.5858752559152599,0.027524119869505665,0.0277557653380177,0.023894107117633585,0.02293293358710544
FROM Nifty50 (India),0.07003479002158963,0.06308229926949821,0.0727871258225096,0.06802277511398015,0.0709183355610096,0.024153358602550443,0.07084273801403533,0.01898471601733388,0.3825230761944585,0.055749397664780015,0.06152283094701522,0.04137855677123935
FROM Bovespa (Brazil),0.11558946675145586,0.09760679392560069,0.08744470946162904,0.07470486734415618,0.08314413125598649,0.013359394763757566,0.03187089370035131,0.00871347742016398,0.031257799367786436,0.30870465914776396,0.12157270487439631,0.026031101986952222
FROM TSX (Canada),0.14788848982015035,0.12557337134940091,0.09943445730552136,0.08577333033469786,0.09217335030223824,0.019285753474011187,0.021763651091137388,0.0060827426835378074,0.025734296896907663,0.09418816680121334,0.24700844180935516,0.03509394813182874
FROM ASX200 (Australia),0.11071131610209152,0.09924933334451086,0.08672141133821541,0.08026791267442214,0.0810108894955696,0.040356284326794445,0.04437515091363327,0.01028781043873343,0.031191519173701988,0.060323223026924264,0.09530434410772455,0.26020080505767856
