,S&P500 (US),Nasdaq (US),FTSE100 (UK),DAX (Germany),CAC40 (France),Nikkei225 (Japan),HangSeng (HK),Shanghai (China),Nifty50 (India),Bovespa (Brazil),TSX (Canada),ASX200 (Australia),US Dollar (DXY),EUR/USD,GBP/USD,USD/JPY,WTI Crude,Brent Crude,Gold,Silver,Copper,VIX Fear,Bitcoin
S&P500 (US),1.0,0.9510918295686899,0.5598270020172713,0.5976147462087026,0.5868530125374274,0.15323419845951983,0.21625279452153812,0.0941988032435528,0.28472095063184827,0.6121068843716106,0.7635789190867431,0.21504808325553304,-0.1995879219042869,0.13634508634366854,0.14339178636394892,0.20384069856198475,0.27487742390642117,0.3085860180012596,0.038283935720432205,0.13746074791703056,0.2778041883235803,-0.7388588974741841,0.22763140072090754
Nasdaq (US),0.9510918295686899,1.0,0.49336218345534566,0.5516567510415148,0.5336110695148716,0.13668076927019712,0.21051791150097438,0.10047543653115527,0.249002381659331,0.5664794191936137,0.7001862718242168,0.19180154802764604,-0.17636990009482142,0.10690901778445744,0.11797853956235728,0.17254712719552245,0.23035650697611382,0.2644018513743932,0.03374718036611528,0.13188735672491983,0.2530398845815358,-0.7295928561382522,0.2465427549128755
FTSE100 (UK),0.5598270020172713,0.49336218345534566,1.0,0.8415145847934627,0.8855272512744157,0.3211502491033552,0.3880854581678041,0.16309646251352886,0.43618986397846393,0.49978889173207813,0.5968707568311694,0.38816999374077144,-0.17246588744796018,0.10864480238372558,0.10047134818745901,0.14132155036626232,0.3194360221957921,0.3491053998378829,0.07944886355553385,0.22161157910127102,0.42037197880956634,-0.4282438579438426,0.13349778085712663
DAX (Germany),0.5976147462087026,0.5516567510415148,0.8415145847934627,1.0,0.9274111360546899,0.3022055439224545,0.36089925401418604,0.14972290981603273,0.4130954478812092,0.4710115667910301,0.5637573511626021,0.3364768251748497,-0.18292353012232265,0.10515344566066777,0.14009920358289396,0.15238958936955946,0.26175571763452304,0.2884245780084087,0.055395422617179,0.19094812303843028,0.3835994546873707,-0.4575333497568413,0.14734402638542773
CAC40 (France),0.5868530125374274,0.5336110695148716,0.8855272512744157,0.9274111360546899,1.0,0.3159109375191786,0.37075011301732014,0.1559852396478955,0.42990568667412155,0.4918032876181878,0.5800046217342527,0.3578001228934737,-0.19397241221098865,0.10215304916737566,0.12904166156274174,0.14847304792120497,0.28323657183400874,0.3116210805190376,0.03889025679805438,0.18905665786816395,0.39892272485337865,-0.46796773243486073,0.14234837758798072
Nikkei225 (Japan),0.15323419845951983,0.13668076927019712,0.3211502491033552,0.3022055439224545,0.3159109375191786,1.0,0.5097929864762215,0.25610488496634637,0.33610146784526423,0.15850249646308023,0.22869008457746023,0.5710880907600336,-0.06005057774232227,0.07774650573907568,0.15470749707518008,0.16457496156180915,0.11272051182648941,0.1285807446399904,0.030832972008921513,0.11877005244340483,0.16432551205506565,-0.09660305394888259,0.006461699911703297
HangSeng (HK),0.21625279452153812,0.21051791150097438,0.3880854581678041,0.36089925401418604,0.37075011301732014,0.5097929864762215,1.0,0.47348796816092603,0.48292359031885723,0.278907948262303,0.2803293477139156,0.5381558028409371,-0.12964028886715406,0.14936527074671338,0.210380453971485,0.07748245528135271,0.16027420406915457,0.18805670322527135,0.07560206048379463,0.1710436686494244,0.25868529768910214,-0.12174295850372827,0.024650165073038757
Shanghai (China),0.0941988032435528,0.10047543653115527,0.16309646251352886,0.14972290981603273,0.1559852396478955,0.25610488496634637,0.47348796816092603,1.0,0.24494734812246952,0.14805066484162757,0.1329362373101723,0.2514782517255172,-0.07298531209623016,0.0643305482981765,0.08457231359608561,0.061804712962889335,0.09265181305857612,0.11473553679415971,0.046004052293158126,0.09030529470396037,0.16576202594896985,-0.06668854612731157,0.03647217261782831
Nifty50 (India),0.28472095063184827,0.249002381659331,0.43618986397846393,0.4130954478812092,0.42990568667412155,0.33610146784526423,0.48292359031885723,0.24494734812246952,1.0,0.3020663795867848,0.3175298165250879,0.3989048327211774,-0.1288386865967347,0.1202027199255757,0.1465569203184768,0.08424092018483084,0.18256905953785613,0.20214767242647483,0.06842614146705163,0.1588245478390097,0.25760045880421817,-0.18280460814091015,0.05841468517966593
Bovespa (Brazil),0.6121068843716106,0.5664794191936137,0.49978889173207813,0.4710115667910301,0.4918032876181878,0.15850249646308023,0.278907948262303,0.14805066484162757,0.3020663795867848,1.0,0.6190234521255984,0.23367273728411142,-0.21939941012057185,0.12788288806004053,0.13535016141080294,0.1474395984422093,0.2919544449842582,0.3166663045121864,0.11795518029677574,0.19763545186611264,0.3073341179847522,-0.4796129900978602,0.16288199048108237
