,S&P500 (US),Nasdaq (US),FTSE100 (UK),DAX (Germany),CAC40 (France),Nikkei225 (Japan),HangSeng (HK),Shanghai (China),Nifty50 (India),Bovespa (Brazil),TSX (Canada),ASX200 (Australia)
S&P500 (US),,0.8315728826579604,0.46100653092585475,0.457077011714999,0.46475897829844437,0.2208989627353054,0.2189360476281928,0.16903572800614675,0.2664890073284477,0.4378720952563856,0.6223588167499039,0.23434498655397618
Nasdaq (US),0.8315728826579604,,0.4072224356511717,0.4244286537353562,0.42634914538121754,0.21513638109873223,0.22085653927405413,0.16327314636957357,0.25094381523428827,0.4090647205684655,0.5666538609296965,0.2266615443718786
FTSE100 (UK),0.46100653092585475,0.4072224356511717,,0.6915097963887822,0.7241644256626969,0.32654629273914715,0.33999231655781786,0.218978102189781,0.39085054408172326,0.3764886669227814,0.46868997310795235,0.3630426431041106
DAX (Germany),0.457077011714999,0.4244286537353562,0.6915097963887822,,0.7989245246783175,0.3054168267383788,0.32264259650470517,0.20553207837111026,0.3775260937153009,0.366813904359516,0.4514022281982328,0.31502112946600075
CAC40 (France),0.46475897829844437,0.42634914538121754,0.7241644256626969,0.7989245246783175,,0.31886285055704955,0.3380065296715959,0.21321552055320783,0.38418831889851207,0.3860188208181294,0.4802151363810987,0.3457548981943911
Nikkei225 (Japan),0.2208989627353054,0.21513638109873223,0.32654629273914715,0.3054168267383788,0.31886285055704955,,0.4129850172877449,0.28044563964656166,0.2975793915167666,0.21129466000768343,0.2266615443718786,0.4802151363810987
HangSeng (HK),0.2189360476281928,0.22085653927405413,0.33999231655781786,0.32264259650470517,0.3380065296715959,0.4129850172877449,,0.41490587783326927,0.3753053519875638,0.23429998079508352,0.2554744525547445,0.4168267383787937
Shanghai (China),0.16903572800614675,0.16327314636957357,0.218978102189781,0.20553207837111026,0.21321552055320783,0.28044563964656166,0.41490587783326927,,0.25760604041749946,0.17671917018824432,0.1920860545524395,0.28236650019208603
Nifty50 (India),0.2664890073284477,0.25094381523428827,0.39085054408172326,0.3775260937153009,0.38418831889851207,0.2975793915167666,0.3753053519875638,0.25760604041749946,,0.2909171663335554,0.31756606706640017,0.3220075505218743
Bovespa (Brazil),0.4378720952563856,0.4090647205684655,0.3764886669227814,0.366813904359516,0.3860188208181294,0.21129466000768343,0.23429998079508352,0.17671917018824432,0.2909171663335554,,0.45716480983480595,0.24779101037264695
TSX (Canada),0.6223588167499039,0.5666538609296965,0.46868997310795235,0.4514022281982328,0.4802151363810987,0.2266615443718786,0.2554744525547445,0.1920860545524395,0.31756606706640017,0.45716480983480595,,0.27852477910103723
ASX200 (Australia),0.23434498655397618,0.2266615443718786,0.3630426431041106,0.31502112946600075,0.3457548981943911,0.4802151363810987,0.4168267383787937,0.28236650019208603,0.3220075505218743,0.24779101037264695,0.27852477910103723,
