,S&P500 (US),Nasdaq (US),FTSE100 (UK),DAX (Germany),CAC40 (France),Nikkei225 (Japan),HangSeng (HK),Shanghai (China),Nifty50 (India),Bovespa (Brazil),TSX (Canada),ASX200 (Australia)
S&P500 (US),,0.7585942001152294,0.4341144832885132,0.44171307854810826,0.45515652006913765,0.17671917018824432,0.23429998079508352,0.14022281982328083,0.25094381523428827,0.40138275398502016,0.549366116019977,0.21321552055320783
Nasdaq (US),0.7585942001152294,,0.3707260852862082,0.40138275398502016,0.39946226233915877,0.17095658855167115,0.2477434223161129,0.14022281982328083,0.23761936486786586,0.36489341271365466,0.4802151363810987,0.20361121782558586
FTSE100 (UK),0.4341144832885132,0.3707260852862082,,0.6262005378409528,0.6972723780253554,0.2247406838263542,0.28428736073761046,0.16519400691509795,0.30646235842771485,0.3169419900115252,0.4033807145601229,0.29004994237418363
DAX (Germany),0.44171307854810826,0.40138275398502016,0.6262005378409528,,0.7547532168235067,0.2247406838263542,0.2573458805454196,0.15751056473300037,0.27759271596713303,0.282312271941617,0.3880138301959278,0.24010756819054935
CAC40 (France),0.45515652006913765,0.39946226233915877,0.6972723780253554,0.7547532168235067,,0.2228198232808298,0.26502784712886496,0.1498271225509028,0.2975793915167666,0.32072210485884384,0.41490587783326927,0.27276219746446406
Nikkei225 (Japan),0.17671917018824432,0.17095658855167115,0.2247406838263542,0.2247406838263542,0.2228198232808298,,0.3323088743757203,0.17864003073376872,0.2620475238729736,0.16903572800614675,0.21513638109873223,0.3880138301959278
HangSeng (HK),0.23429998079508352,0.2477434223161129,0.28428736073761046,0.2573458805454196,0.26502784712886496,0.3323088743757203,,0.3034959661928544,0.33089051743282255,0.21317457269060877,0.24971187091817132,0.36880522474068383
Shanghai (China),0.14022281982328083,0.14022281982328083,0.16519400691509795,0.15751056473300037,0.1498271225509028,0.17864003073376872,0.3034959661928544,,0.20652898067954698,0.18440261237034192,0.1517479830964272,0.19592777564348826
Nifty50 (India),0.25094381523428827,0.23761936486786586,0.30646235842771485,0.27759271596713303,0.2975793915167666,0.2620475238729736,0.33089051743282255,0.20652898067954698,,0.23761936486786586,0.25094381523428827,0.3020208749722407
Bovespa (Brazil),0.40138275398502016,0.36489341271365466,0.3169419900115252,0.282312271941617,0.32072210485884384,0.16903572800614675,0.21317457269060877,0.18440261237034192,0.23761936486786586,,0.4033807145601229,0.23050326546292738
TSX (Canada),0.549366116019977,0.4802151363810987,0.4033807145601229,0.3880138301959278,0.41490587783326927,0.21513638109873223,0.24971187091817132,0.1517479830964272,0.25094381523428827,0.4033807145601229,,0.28620822128313483
ASX200 (Australia),0.21321552055320783,0.20361121782558586,0.29004994237418363,0.24010756819054935,0.27276219746446406,0.3880138301959278,0.36880522474068383,0.19592777564348826,0.3020208749722407,0.23050326546292738,0.28620822128313483,
