Date,S&P500 (US),Nasdaq (US),FTSE100 (UK),DAX (Germany),CAC40 (France),Nikkei225 (Japan),HangSeng (HK),Shanghai (China),Nifty50 (India),Bovespa (Brazil),TSX (Canada),ASX200 (Australia)
2005-01-03,1202.0799560546875,2152.14990234375,,4291.52978515625,3855.679931640625,,14237.419921875,,,25722.0,,
2005-01-04,1188.050048828125,2107.860107421875,4847.0,4290.5,3863.300048828125,11517.75,14045.900390625,1242.7740478515625,,24848.0,9143.0,4058.60009765625
2005-01-05,1183.739990234375,2091.239990234375,4806.0,4258.240234375,3829.360107421875,11437.51953125,13764.3603515625,1251.93701171875,,24692.0,9021.099609375,4039.39990234375
2005-01-06,1187.8900146484375,2090.0,4824.2998046875,4300.93994140625,3856.47998046875,11492.259765625,13712.0400390625,1239.4300537109375,,24367.0,9064.2998046875,4029.89990234375
2005-01-07,1186.18994140625,2088.610107421875,4854.10009765625,4316.39990234375,3877.9599609375,11433.240234375,13574.8603515625,1244.7459716796875,,24747.0,9006.2001953125,4063.199951171875
2005-01-10,1190.25,2097.0400390625,4840.7001953125,4307.3701171875,3877.820068359375,,13531.3896484375,1252.4010009765625,,24292.0,9026.7998046875,4074.89990234375
2005-01-11,1182.989990234375,2079.6201171875,4818.7001953125,4258.009765625,3848.989990234375,11539.990234375,13509.25,1257.4620361328125,,24370.0,9020.7001953125,4072.699951171875
2005-01-12,1187.699951171875,2092.530029296875,4783.60009765625,4208.81982421875,3816.139892578125,11453.3896484375,13565.3095703125,1256.9229736328125,,24510.0,9022.7001953125,4070.39990234375
2005-01-13,1177.449951171875,2070.56005859375,4800.2998046875,4212.14013671875,3834.110107421875,11358.2197265625,13573.2802734375,1256.31396484375,,24806.0,9009.099609375,4069.5
2005-01-14,1184.52001953125,2087.909912109375,4820.7998046875,4232.35986328125,3854.60009765625,11438.3896484375,13494.7802734375,1245.6199951171875,,24924.0,9057.2001953125,4061.60009765625
2005-01-17,,,4846.7001953125,4245.509765625,3881.43994140625,11487.099609375,13621.650390625,1216.6519775390625,,24515.0,9063.7998046875,4076.89990234375
2005-01-18,1195.97998046875,2106.0400390625,4823.89990234375,4250.7099609375,3875.02001953125,11423.259765625,13604.2197265625,1225.4539794921875,,24089.0,9134.7998046875,4062.0
2005-01-19,1184.6300048828125,2073.590087890625,4818.2998046875,4245.5498046875,3869.010009765625,11405.33984375,13678.6298828125,1218.1080322265625,,24271.0,9120.400390625,4052.60009765625
2005-01-20,1175.4100341796875,2045.8800048828125,4800.7998046875,4220.43017578125,3842.43994140625,11284.76953125,13543.58984375,1204.39404296875,,23610.0,9089.0,4036.0
